時点,小学校数【校】,小学生【人】,中学校数【校】
1948年,25237,10774652,16285
1949年,25638,10991927,14200
1950年,25878,11191401,14165
1951年,26056,11422992,13836
1952年,26377,11148325,13748
1953年,26555,11225469,13685
1954年,26804,11750925,13773
1955年,26880,12266952,13767
1956年,26957,12616311,13724
1957年,26988,12956285,13622
1958年,26964,13492087,13392
1959年,26916,13374700,13135
1960年,26858,12590680,12986
1961年,26741,11810874,12849
1962年,26615,11056915,12647
1963年,26423,10471383,12502
1964年,26210,10030990,12310
1965年,25977,9775532,12079
1966年,25687,9584061,11851
1967年,25487,9452071,11684
1968年,25262,9383182,11463
1969年,25013,9403193,11278
1970年,24790,9493485,11040
1971年,24540,9595021,10839
1972年,24325,9696133,10686
1973年,24592,9816536,10836
1974年,24606,10088776,10802
1975年,24650,10364846,10751
1976年,24717,10609985,10719
1977年,24777,10819651,10723
1978年,24828,11146874,10778
1979年,24899,11629110,10746
1980年,24945,11826573,10780
1981年,25005,11924653,10810
1982年,25043,11901520,10879
1983年,25045,11739452,10950
1984年,25064,11464221,11047
1985年,25040,11095372,11131
1986年,24982,10665404,11190
1987年,24933,10226323,11230
1988年,24901,9872520,11266
1989年,24851,9606627,11264
1990年,24827,9373295,11275
1991年,24798,9157429,11290
1992年,24730,8947226,11300
1993年,24676,8768881,11292
1994年,24635,8582871,11289
1995年,24548,8370246,11274
1996年,24482,8105629,11269
1997年,24376,7855387,11257
1998年,24295,7663533,11236
1999年,24188,7500317,11220
2000年,24106,7366079,11209
2001年,23964,7296920,11191
2002年,23808,7239327,11159
2003年,23633,7226910,11134
2004年,23420,7200933,11102
2005年,23123,7197458,11035
2006年,22878,7187417,10992
2007年,22693,7132874,10955
2008年,22476,7121781,10915
2009年,22258,7063606,10864
2010年,22000,6993376,10815
2011年,21721,6887292,10751
2012年,21460,6764619,10699
2013年,21131,6676920,10628
2014年,20852,6600006,10557
2015年,20601,6543104,10484
2016年,20313,6483515,10404
2017年,20095,6448658,10325
2018年,19892,6427867,10270
2019年,19738,6368550,10222
2020年,19526,6300735,10143